epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6746,1.08374,3.34098,1.41629,0.00143,0.42857,0.14591,0.11657,1.00582,4.5853,1.27509,0.0001,0.0001,0.0001
2,49.5685,0.67264,3.90454,0.93713,0.00286,0.85714,0.14882,0.11873,0.85574,4.08339,0.88264,0.000215644,0.000215644,0.000215644
3,73.7907,1.05575,2.51916,1.35171,0.00333,1,0.17667,0.1179,0.9463,3.9597,0.92354,0.000326536,0.000326536,0.000326536
4,104.899,0.72827,1.89686,1.05298,0.00333,1,0.26482,0.20902,0.91047,3.91693,0.88511,0.000432676,0.000432676,0.000432676
5,135.001,0.74858,1.87227,1.03845,0.00333,1,0.26217,0.19848,0.87004,3.91702,0.86213,0.000534064,0.000534064,0.000534064
6,166.053,0.87791,1.71609,1.09146,0.00333,1,0.20888,0.14528,1.05245,3.80689,0.8931,0.0006307,0.0006307,0.0006307
7,206.344,1.01978,1.83941,1.13294,0.00333,1,0.26789,0.24575,0.83797,4.02911,0.88373,0.000722584,0.000722584,0.000722584
8,255.293,0.97939,1.74,1.06304,0.62901,0.14286,0.28273,0.1498,1.24473,3.7858,1.02571,0.000809716,0.000809716,0.000809716
9,302.939,0.90278,1.73404,1.18682,0.00318,0.57143,0.11467,0.08415,1.20065,4.37708,1.28349,0.000892096,0.000892096,0.000892096
10,349.851,0.97233,1.76199,1.10212,0.44369,0.14286,0.15076,0.06554,1.13279,4.61063,1.21707,0.000969724,0.000969724,0.000969724
11,397.571,0.90017,1.94854,1.05277,1,0.2765,0.32988,0.19274,1.07914,4.11781,1.19565,0.0010426,0.0010426,0.0010426
12,445.325,1.0065,1.60727,1.12412,0.95768,0.14286,0.26095,0.17226,1.07403,3.81846,1.1159,0.00111072,0.00111072,0.00111072
13,492.199,0.78489,2.45811,0.96114,0.93227,0.14286,0.18679,0.14673,0.91369,3.66738,0.95077,0.0011741,0.0011741,0.0011741
14,539.019,1.07951,1.83179,1.28148,0.48147,0.14286,0.24571,0.21225,0.86922,3.48887,0.95738,0.00123272,0.00123272,0.00123272
15,585.769,0.77743,1.46178,1.06598,0.56365,0.28571,0.28541,0.22839,0.83169,3.58808,0.98171,0.00128658,0.00128658,0.00128658
